,,Number,Player,ATS_prices,Website
0,0,1,Hamiso Tabuai-Fidow,2.2,Sportsbet
1,1,2,Jamayne Isaako,2.12,Sportsbet
2,2,3,Jake Averillo,3.5,Sportsbet
3,3,4,Herbie Farnworth,3.15,Sportsbet
4,4,5,Jack Bostock,2.05,Sportsbet
5,5,6,Kodi Nikorima,6.25,Sportsbet
6,6,7,Isaiya Katoa,7,Sportsbet
7,7,8,Daniel Saifiti,10,Sportsbet
8,8,9,Jeremy Marshall-King,6.5,Sportsbet
9,9,10,Felise Kaufusi,11.5,Sportsbet
10,10,11,Kulikefu Finefeuiaki,6.25,Sportsbet
11,11,12,Tom Gilbert,5.9,Sportsbet
12,12,13,Max Plath,7.25,Sportsbet
13,13,14,Kurt Donoghoe,9.75,Sportsbet
14,14,15,Mark Nicholls,7.5,Sportsbet
15,15,16,Connelly Lemuelu,6,Sportsbet
16,16,17,Josh Kerr,12,Sportsbet
17,17,1,Dylan Edwards,2.35,Sportsbet
18,18,2,Paul Alamoti,1.65,Sportsbet
19,19,3,Izack Tago,2.45,Sportsbet
20,20,4,Thomas Jenkins,1.98,Sportsbet
21,21,5,Casey McLean,1.89,Sportsbet
22,22,6,Blaize Talagi,3.4,Sportsbet
23,23,7,Nathan Cleary,3.45,Sportsbet
24,24,8,Moses Leota,9.25,Sportsbet
25,25,9,Luke Sommerton,8,Sportsbet
26,26,10,Lindsay Smith,10.5,Sportsbet
27,27,11,Scott Sorensen,4.3,Sportsbet
28,28,12,Liam Martin,3.8,Sportsbet
29,29,13,Isaah Yeo,8,Sportsbet
30,30,14,Brad Schneider,6.75,Sportsbet
31,31,15,Isaiah Papali'i,6.25,Sportsbet
32,32,16,Liam Henry,11.5,Sportsbet
33,33,17,Luke Garner,4.9,Sportsbet
34,34,1,Clinton Gutherson,1.96,Sportsbet
35,35,2,Tyrell Sloan,1.82,Sportsbet
36,36,3,Moses Suli,3,Sportsbet
37,37,4,Valentine Holmes,2.35,Sportsbet
38,38,5,Christian Tuipulotu,1.63,Sportsbet
39,39,6,Kyle Flanagan,3.8,Sportsbet
40,40,7,Lachlan Ilias,5,Sportsbet
41,41,8,Toby Couchman,9.25,Sportsbet
42,42,9,Damien Cook,4.8,Sportsbet
43,43,10,David Klemmer,10.5,Sportsbet
44,44,11,Luciano Leilua,4.5,Sportsbet
45,45,12,Jaydn Su'A,3.75,Sportsbet
46,46,13,Jack de Belin,8,Sportsbet
47,47,14,Jacob Liddle,6,Sportsbet
48,48,15,Blake Lawrie,9.75,Sportsbet
49,49,16,Hamish Stewart,9.75,Sportsbet
50,50,17,Dylan Egan,10,Sportsbet
51,51,1,Jaylan De Groot,3.25,Sportsbet
52,52,2,Tony Francis,2.2,Sportsbet
53,53,3,Brian Kelly,3.5,Sportsbet
54,54,4,Phillip Sami,2.25,Sportsbet
55,55,5,Sosefo Fifita,2.35,Sportsbet
56,56,6,Alexander Brimson,2.95,Sportsbet
57,57,7,Jayden Campbell,3.3,Sportsbet
58,58,8,Moeaki Fotuaika,13,Sportsbet
59,59,9,Sam Verrills,7.5,Sportsbet
60,60,10,Reagan Campbell-Gillard,10.5,Sportsbet
61,61,11,Klese Haas,6,Sportsbet
62,62,12,Beau Fermor,4.5,Sportsbet
63,63,13,Chris Randall,8.25,Sportsbet
64,64,14,Arama Hau,12.5,Sportsbet
65,65,15,David Fifita,4.5,Sportsbet
66,66,16,Jaimin Jolliffe,10.5,Sportsbet
67,67,17,Brock Gray,12.5,Sportsbet
68,68,1,Reece Walsh,1.66,Sportsbet
69,69,2,Selwyn Cobbo,1.56,Sportsbet
70,70,3,Kotoni Staggs,2.2,Sportsbet
71,71,4,Gehamat Shibasaki,2.4,Sportsbet
72,72,5,Jesse Arthars,1.44,Sportsbet
73,73,6,Ben Hunt,4.5,Sportsbet
74,74,7,Adam Reynolds,4.3,Sportsbet
75,75,8,Patrick Carrigan,9.25,Sportsbet
76,76,9,Cory Paix,4.5,Sportsbet
77,77,10,Payne Haas,5.1,Sportsbet
78,78,11,Jack Gosiewski,4.25,Sportsbet
79,79,12,Jaiyden Hunt,5.25,Sportsbet
80,80,13,Kobe Hetherington,12,Sportsbet
81,81,14,Billy Walters,6.25,Sportsbet
82,82,15,Corey Jensen,8.75,Sportsbet
83,83,16,Xavier Willison,4.8,Sportsbet
84,84,17,Martin Taupau,7.5,Sportsbet
85,85,1,James Tedesco,3.4,Sportsbet
86,86,2,Daniel Tupou,2.3,Sportsbet
87,87,3,Billy Smith,3.8,Sportsbet
88,88,4,Robert Toia,4.1,Sportsbet
89,89,5,Dominic Young,2.07,Sportsbet
90,90,6,Sandon Smith,4.8,Sportsbet
91,91,7,Hugo Savala,7,Sportsbet
92,92,8,Nat Butcher,10,Sportsbet
93,93,9,Connor Watson,7.25,Sportsbet
94,94,10,Naufahu Whyte,11,Sportsbet
95,95,11,Angus Crichton,4.9,Sportsbet
96,96,12,Siua Wong,7,Sportsbet
97,97,13,Victor Radley,9,Sportsbet
98,98,14,Zach Dockar-Clay,10,Sportsbet
99,99,15,Salesi Foketi,11,Sportsbet
100,100,16,Blake Steep,11,Sportsbet
101,101,17,Spencer Leniu,10,Sportsbet
102,102,1,William Kennedy,2.9,Sportsbet
103,103,2,Samuel Stonestreet,,Sportsbet
104,104,3,Jesse Ramien,2.7,Sportsbet
105,105,4,Mawene Hiroti,3,Sportsbet
106,106,5,Ronaldo Mulitalo,1.72,Sportsbet
107,107,6,Braydon Trindall,4.1,Sportsbet
108,108,7,Nicho Hynes,4.8,Sportsbet
109,109,8,Addin Fonua-Blake,3.45,Sportsbet
110,110,9,Blayke Brailey,6,Sportsbet
111,111,10,Oregon Kaufusi,10.5,Sportsbet
112,112,11,Briton Nikora,2.45,Sportsbet
113,113,12,Teig Wilton,4.5,Sportsbet
114,114,13,Cameron McInnes,8.75,Sportsbet
115,115,14,Daniel Atkinson,5.2,Sportsbet
116,116,15,Siosifa Talakai,12,Sportsbet
117,117,16,Toby Rudolf,6.75,Sportsbet
118,118,17,Thomas Hazelton,8.5,Sportsbet
119,119,1,Lehi Hopoate,2.6,Sportsbet
120,120,2,Jason Saab,1.89,Sportsbet
121,121,3,Tolutau Koula,3.1,Sportsbet
122,122,4,Reuben Garrick,3.1,Sportsbet
123,123,5,Clayton Faulalo,2.12,Sportsbet
124,124,6,Luke Brooks,6,Sportsbet
125,125,7,Daly Cherry-Evans,4.9,Sportsbet
126,126,8,Josh Aloiai,10,Sportsbet
127,127,9,Jazz Tevaga,7.25,Sportsbet
128,128,10,Siosiua Taukeiaho,13,Sportsbet
129,129,11,Haumole Olakau'atu,3,Sportsbet
130,130,12,Ben Trbojevic,5,Sportsbet
131,131,13,Jake Trbojevic,13,Sportsbet
132,132,14,Jake Simpkin,9.25,Sportsbet
133,133,15,Nathan Brown,12,Sportsbet
134,134,16,Ethan Bullemor,6,Sportsbet
135,135,17,Toafofoa Sipley,11.5,Sportsbet
136,136,1,Jye Gray,2.3,Sportsbet
137,137,2,Alex Johnston,1.82,Sportsbet
138,138,3,Euan Aitken,3.6,Sportsbet
139,139,4,Jack Wighton,3.05,Sportsbet
140,140,5,Isaiah Tass,2.03,Sportsbet
141,141,6,Latrell Mitchell,2.45,Sportsbet
142,142,7,Jayden Sullivan,4.5,Sportsbet
143,143,8,Sean Keppie,13,Sportsbet
144,144,9,Peter Mamouzelos,7.75,Sportsbet
145,145,10,Tevita Tatola,12,Sportsbet
146,146,11,Keaon Koloamatangi,3.3,Sportsbet
147,147,12,Jai Arrow,5.9,Sportsbet
148,148,13,Lachlan Hubner,7.75,Sportsbet
149,149,14,Liam Le Blanc,11,Sportsbet
150,150,15,Siliva Havili,9.5,Sportsbet
151,151,16,Tallis Duncan,6,Sportsbet
152,152,17,Davvy Moale,9.75,Sportsbet
153,153,1,Scott Drinkwater,2.1,Sportsbet
154,154,2,Robert Derby,1.98,Sportsbet
155,155,3,Jaxon Purdue,2.95,Sportsbet
156,156,4,Viliami Vailea,3.1,Sportsbet
157,157,5,Murray Taulagi,1.77,Sportsbet
158,158,6,Tom Dearden,2.85,Sportsbet
159,159,7,Jake Clifford,4.5,Sportsbet
160,160,8,Jordan McLean,12.5,Sportsbet
161,161,9,Reece Robson,6,Sportsbet
162,162,10,Jason Taumalolo,11.5,Sportsbet
163,163,11,John Bateman,4.5,Sportsbet
164,164,12,Kai O'Donnell,5.4,Sportsbet
165,165,13,Reuben Cotter,6.75,Sportsbet
166,166,14,Sam McIntyre,7.5,Sportsbet
167,167,15,Jeremiah Nanai,4.6,Sportsbet
168,168,16,Griffin Neame,9.75,Sportsbet
169,169,17,Coen Hess,9.75,Sportsbet
170,170,1,Isaiah Iongi,3.15,Sportsbet
171,171,2,Josh Addo-Carr,1.96,Sportsbet
172,172,3,Will Penisini,2.95,Sportsbet
173,173,4,Sean Russell,3.6,Sportsbet
174,174,5,Zac Lomax,1.9,Sportsbet
175,175,6,Dylan Brown,4.6,Sportsbet
176,176,7,Dean Hawkins,5.6,Sportsbet
177,177,8,Joe Ofahengaue,10.5,Sportsbet
178,178,9,Ryley Smith,7.75,Sportsbet
179,179,10,Junior Paulo,10,Sportsbet
180,180,11,Shaun Lane,5.4,Sportsbet
181,181,12,Kitione Kautoga,6.75,Sportsbet
182,182,13,J'maine Hopgood,8,Sportsbet
183,183,14,Dylan Walker,8,Sportsbet
184,184,15,Luca Moretti,11,Sportsbet
185,185,16,Charlie Guymer,11,Sportsbet
186,186,17,Sam Tuivaiti,10,Sportsbet
187,187,1,Kaeo Weekes,2.75,Sportsbet
188,188,2,Savelio Tamale,1.99,Sportsbet
189,189,3,Matthew Timoko,2.9,Sportsbet
190,190,4,Sebastian Kris,2.65,Sportsbet
191,191,5,Xavier Savage,1.73,Sportsbet
192,192,6,Ethan Strange,4.3,Sportsbet
193,193,7,Jamal Fogarty,4.7,Sportsbet
194,194,8,Josh Papalii,11,Sportsbet
195,195,9,Tom Starling,5.8,Sportsbet
196,196,10,Joseph Tapine,7.25,Sportsbet
197,197,11,Hudson Young,2.4,Sportsbet
198,198,12,Matty Nicholson,3.4,Sportsbet
199,199,13,Corey Horsburgh,6.5,Sportsbet
200,200,14,Owen Pattie,8,Sportsbet
201,201,15,Simi Sasagi,9,Sportsbet
202,202,16,Morgan Smithies,12,Sportsbet
203,203,17,Ata Mariota,8.75,Sportsbet
204,204,1,Ryan Papenhuyzen,1.55,Sportsbet
205,205,2,Grant Anderson,1.52,Sportsbet
206,206,3,Jack Howarth,2.85,Sportsbet
207,207,4,Moses Leo,3.15,Sportsbet
208,208,5,Xavier Coates,1.62,Sportsbet
209,209,6,Cameron Munster,2.8,Sportsbet
210,210,7,Jahrome Hughes,2.8,Sportsbet
211,211,8,Stefano Utoikamanu,6.75,Sportsbet
212,212,9,Harry Grant,2.85,Sportsbet
213,213,10,Josh King,7.5,Sportsbet
214,214,11,Shawn Blore,5.5,Sportsbet
215,215,12,Eliesa Katoa,2.2,Sportsbet
216,216,13,Trent Loiero,11,Sportsbet
217,217,14,Tyran Wishart,3.9,Sportsbet
218,218,15,Alec MacDonald,10,Sportsbet
219,219,16,Tui Kamikamica,10,Sportsbet
220,220,17,Bronson Garlick,10.5,Sportsbet
221,221,1,Charnze Nicoll-Klokstad,4.2,Sportsbet
222,222,2,Taine Tuaupiki,2.25,Sportsbet
223,223,3,Rocco Berry,4,Sportsbet
224,224,4,Ali Leiataua,2.8,Sportsbet
225,225,5,Adam Pompey,2.25,Sportsbet
226,226,6,Chanel Harris-Tavita,4.4,Sportsbet
227,227,7,Luke Metcalf,4,Sportsbet
228,228,8,James Fisher-Harris,9.5,Sportsbet
229,229,9,Wayde Egan,7.75,Sportsbet
230,230,10,Mitchell Barnett,8.25,Sportsbet
231,231,11,Kurt Capewell,6.25,Sportsbet
232,232,12,Marata Niukore,7,Sportsbet
233,233,13,Erin Clark,9.5,Sportsbet
234,234,14,Bunty Afoa,12,Sportsbet
235,235,15,Jackson Ford,10.5,Sportsbet
236,236,16,Demitric Sifakula,,Sportsbet
237,237,17,Leka Halasima,11,Sportsbet
238,238,1,Kalyn Ponga,2.6,Sportsbet
239,239,2,Kyle McCarthy,2.08,Sportsbet
240,240,3,Dane Gagai,3,Sportsbet
241,241,4,Bradman Best,2.25,Sportsbet
242,242,5,Greg Marzhew,1.73,Sportsbet
243,243,6,Fletcher Sharpe,2.9,Sportsbet
244,244,7,Phoenix Crossland,6,Sportsbet
245,245,8,Brodie Jones,8.75,Sportsbet
246,246,9,Jayden Brailey,7.5,Sportsbet
247,247,10,Leo Thompson,7.25,Sportsbet
248,248,11,Thomas Cant,5.8,Sportsbet
249,249,12,Kai Pearce-Paul,4.8,Sportsbet
250,250,13,Tyson Frizell,6,Sportsbet
251,251,14,Matthew Arthur,9.25,Sportsbet
252,252,15,Tyrone Thompson,9.25,Sportsbet
253,253,16,Jermaine McEwen,9.5,Sportsbet
254,254,17,Matt Croker,9.5,Sportsbet
255,255,1,Jahream Bula,2.75,Sportsbet
256,256,2,Sunia Turuva,2,Sportsbet
257,257,3,Adam Doueihi,3.9,Sportsbet
258,258,4,Starford To'a,3.75,Sportsbet
259,259,5,Jeral Skelton,2.1,Sportsbet
260,260,6,Lachlan Galvin,4.8,Sportsbet
261,261,7,Jarome Luai,5.2,Sportsbet
262,262,8,Terrell May,8.25,Sportsbet
263,263,9,Apisai Koroisau,4.8,Sportsbet
264,264,10,Fonua Pole,9.5,Sportsbet
265,265,11,Samuela Fainu,5,Sportsbet
266,266,12,Alex Seyfarth,7,Sportsbet
267,267,13,Alex Twal,15,Sportsbet
268,268,14,Tallyn Da Silva,8.5,Sportsbet
269,269,15,Royce Hunt,9.25,Sportsbet
270,270,16,Jack Bird,6.5,Sportsbet
271,271,17,Sione Fainu,9.5,Sportsbet
